ID,X,Y,R,G,B
1,0,0,92,106,79
2,1,0,87,108,79
3,2,0,76,108,78
4,3,0,70,105,72
5,4,0,75,107,73
6,5,0,72,103,71
7,6,0,75,103,69
8,7,0,80,108,72
9,8,0,79,106,71
10,9,0,76,107,74
11,10,0,73,104,71
12,11,0,79,107,72
13,12,0,78,104,70
14,13,0,75,104,69
15,14,0,77,105,69
16,15,0,77,106,68
17,16,0,78,109,73
18,17,0,78,110,76
19,18,0,75,107,72
20,19,0,75,104,69
21,20,0,78,103,63
22,21,0,74,105,65
23,22,0,69,99,60
24,23,0,70,101,62
25,24,0,72,104,65
26,25,0,69,100,63
27,26,0,67,97,61
28,27,0,70,101,68
29,28,0,71,104,73
30,29,0,71,102,68
31,30,0,77,107,68
32,31,0,77,107,68
33,32,0,77,105,58
34,33,0,85,110,66
35,34,0,82,106,69
36,35,0,73,105,69
37,36,0,72,103,65
38,37,0,75,104,66
39,38,0,79,106,68
40,39,0,92,115,81
41,40,0,88,113,65
42,41,0,94,116,68
43,42,0,94,116,71
44,43,0,89,112,67
45,44,0,94,118,78
46,45,0,91,113,66
47,46,0,87,110,64
48,47,0,89,112,69
49,48,0,91,112,68
50,49,0,89,115,76
51,50,0,87,113,77
52,51,0,85,112,70
53,52,0,81,107,65
54,53,0,79,103,61
55,54,0,81,105,63
56,55,0,80,105,60
57,56,0,81,107,60
58,57,0,77,107,62
59,58,0,76,104,63
60,59,0,72,103,62
61,60,0,73,101,59
62,61,0,77,105,59
63,62,0,82,106,60
64,63,0,81,106,60
65,64,0,79,102,52
66,65,0,76,100,56
67,66,0,76,100,55
68,67,0,76,99,51
69,68,0,75,99,46
70,69,0,74,99,50
71,70,0,70,97,55
72,71,0,70,95,51
73,72,0,72,95,49
74,73,0,67,93,51
75,74,0,64,94,55
76,75,0,65,97,59
77,76,0,65,99,59
78,77,0,63,96,58
79,78,0,62,96,58
80,79,0,62,98,62
81,80,0,62,102,68
82,81,0,61,101,68
83,82,0,60,100,68
84,83,0,61,99,68
85,84,0,59,99,66
86,85,0,64,103,63
87,86,0,63,103,67
88,87,0,60,102,68
89,88,0,59,98,61
90,89,0,64,100,63
91,90,0,67,106,72
92,91,0,64,101,70
93,92,0,64,98,69
94,93,0,64,94,67
95,94,0,66,94,61
96,95,0,64,93,60
97,96,0,63,93,60
98,97,0,69,98,64
99,98,0,76,98,63
100,99,0,77,90,67
101,0,1,101,120,88
102,1,1,100,117,82
103,2,1,101,120,81
104,3,1,97,120,81
105,4,1,98,118,78
106,5,1,97,116,75
107,6,1,99,116,70
108,7,1,99,117,70
109,8,1,99,116,71
110,9,1,99,121,81
111,10,1,95,124,86
112,11,1,96,124,84
113,12,1,101,117,78
114,13,1,97,116,74
115,14,1,98,119,77
116,15,1,97,115,70
117,16,1,94,116,73
118,17,1,94,118,76
119,18,1,100,120,76
120,19,1,99,121,74
121,20,1,102,123,77
122,21,1,101,124,78
123,22,1,99,121,74
124,23,1,99,118,69
125,24,1,96,117,71
126,25,1,92,116,72
127,26,1,90,114,70
128,27,1,92,114,67
129,28,1,92,114,70
130,29,1,90,111,68
131,30,1,96,118,73
132,31,1,100,120,72
133,32,1,94,116,69
134,33,1,92,115,73
135,34,1,88,113,73
136,35,1,93,116,75
137,36,1,93,115,73
138,37,1,91,113,71
139,38,1,93,112,68
140,39,1,101,116,76
141,40,1,100,117,73
142,41,1,98,118,74
143,42,1,96,119,77
144,43,1,95,117,77
145,44,1,95,119,78
146,45,1,92,116,76
147,46,1,91,117,79
148,47,1,96,121,80
149,48,1,97,123,81
150,49,1,98,122,79
151,50,1,98,121,80
152,51,1,95,120,84
153,52,1,93,118,79
154,53,1,90,115,77
155,54,1,83,112,81
156,55,1,87,117,81
157,56,1,96,121,79
158,57,1,100,123,75
159,58,1,98,119,67
160,59,1,94,117,69
161,60,1,89,116,69
162,61,1,92,117,66
163,62,1,93,117,68
164,63,1,89,115,69
165,64,1,87,114,67
166,65,1,86,112,66
167,66,1,87,111,64
168,67,1,90,113,65
169,68,1,89,111,61
170,69,1,89,112,66
171,70,1,90,112,65
172,71,1,88,110,64
173,72,1,84,108,67
174,73,1,84,108,65
175,74,1,84,108,64
176,75,1,85,109,64
177,76,1,85,108,64
178,77,1,84,108,64
179,78,1,82,107,66
180,79,1,81,109,70
181,80,1,84,113,73
182,81,1,86,114,73
183,82,1,81,110,70
184,83,1,87,113,70
185,84,1,84,114,73
186,85,1,83,115,77
187,86,1,82,117,86
188,87,1,79,115,85
189,88,1,79,114,81
190,89,1,82,115,80
191,90,1,85,118,86
192,91,1,86,118,86
193,92,1,85,117,85
194,93,1,83,113,86
195,94,1,83,114,84
196,95,1,81,117,88
197,96,1,85,117,85
198,97,1,91,121,84
199,98,1,93,119,78
200,99,1,89,106,75
201,0,2,116,129,92
202,1,2,110,123,85
203,2,2,107,125,84
204,3,2,110,125,87
205,4,2,108,120,75
206,5,2,111,123,77
207,6,2,106,119,73
208,7,2,107,119,68
209,8,2,105,119,69
210,9,2,107,121,72
211,10,2,108,126,80
212,11,2,106,125,77
213,12,2,105,121,75
214,13,2,103,116,65
215,14,2,103,117,66
216,15,2,103,116,64
217,16,2,103,119,71
218,17,2,106,122,73
219,18,2,110,123,73
220,19,2,106,122,76
221,20,2,108,126,79
222,21,2,107,127,81
223,22,2,103,122,80
224,23,2,103,118,73
225,24,2,104,119,70
226,25,2,104,122,72
227,26,2,103,119,69
228,27,2,101,115,65
229,28,2,102,116,68
230,29,2,101,117,67
231,30,2,101,118,69
232,31,2,102,119,72
233,32,2,100,118,73
234,33,2,100,119,73
235,34,2,103,121,76
236,35,2,101,121,76
237,36,2,104,123,78
238,37,2,106,122,77
239,38,2,107,116,64
240,39,2,111,117,72
241,40,2,107,116,69
242,41,2,106,118,70
243,42,2,107,122,74
244,43,2,107,121,71
245,44,2,103,117,70
246,45,2,103,119,76
247,46,2,99,119,77
248,47,2,101,120,77
249,48,2,104,124,77
250,49,2,110,126,77
251,50,2,110,126,81
252,51,2,106,124,82
253,52,2,105,125,82
254,53,2,103,124,77
255,54,2,99,121,79
256,55,2,99,121,81
257,56,2,102,122,76
258,57,2,103,122,71
259,58,2,104,121,67
260,59,2,103,118,67
261,60,2,103,119,67
262,61,2,105,122,71
263,62,2,101,119,72
264,63,2,100,118,69
265,64,2,103,119,64
266,65,2,103,121,68
267,66,2,100,118,70
268,67,2,99,117,70
269,68,2,98,113,67
270,69,2,99,113,66
271,70,2,97,112,64
272,71,2,97,113,66
273,72,2,97,117,72
274,73,2,97,118,73
275,74,2,99,118,71
276,75,2,101,120,74
277,76,2,100,119,73
278,77,2,99,116,70
279,78,2,101,119,73
280,79,2,100,118,72
281,80,2,101,120,73
282,81,2,97,116,71
283,82,2,94,116,75
284,83,2,99,119,77
285,84,2,104,119,74
286,85,2,105,120,77
287,86,2,102,119,77
288,87,2,103,122,82
289,88,2,103,122,75
290,89,2,104,122,77
291,90,2,103,123,81
292,91,2,106,127,88
293,92,2,106,126,86
294,93,2,106,125,82
295,94,2,106,128,89
296,95,2,106,129,89
297,96,2,106,132,98
298,97,2,111,130,88
299,98,2,109,127,81
300,99,2,94,106,68
301,0,3,113,127,85
302,1,3,113,127,82
303,2,3,116,127,77
304,3,3,115,126,75
305,4,3,114,122,69
306,5,3,114,125,74
307,6,3,107,119,71
308,7,3,108,120,68
309,8,3,109,118,64
310,9,3,111,122,71
311,10,3,107,119,69
312,11,3,106,120,70
313,12,3,108,122,70
314,13,3,107,119,68
315,14,3,106,120,71
316,15,3,107,122,74
317,16,3,108,122,73
318,17,3,112,125,75
319,18,3,113,125,77
320,19,3,111,124,77
321,20,3,107,118,71
322,21,3,105,118,71
323,22,3,105,119,75
324,23,3,106,119,74
325,24,3,108,121,71
326,25,3,106,120,71
327,26,3,101,115,68
328,27,3,101,115,67
329,28,3,102,117,69
330,29,3,104,118,69
331,30,3,104,118,66
332,31,3,104,117,66
333,32,3,105,117,66
334,33,3,104,117,65
335,34,3,108,122,71
336,35,3,108,121,72
337,36,3,105,121,73
338,37,3,108,122,70
339,38,3,113,121,66
340,39,3,115,120,72
341,40,3,109,116,66
342,41,3,111,120,65
343,42,3,110,118,59
344,43,3,110,120,65
345,44,3,108,120,68
346,45,3,107,121,72
347,46,3,105,121,73
348,47,3,106,122,74
349,48,3,108,125,76
350,49,3,108,124,75
351,50,3,109,123,75
352,51,3,106,123,74
353,52,3,103,121,76
354,53,3,104,122,77
355,54,3,105,123,79
356,55,3,104,123,78
357,56,3,105,124,78
358,57,3,107,123,76
359,58,3,108,123,72
360,59,3,109,122,70
361,60,3,109,124,74
362,61,3,109,125,76
363,62,3,110,122,72
364,63,3,104,122,74
365,64,3,108,123,69
366,65,3,109,123,70
367,66,3,105,119,67
368,67,3,104,116,66
369,68,3,102,117,70
370,69,3,103,117,68
371,70,3,102,116,69
372,71,3,105,118,69
373,72,3,107,122,70
374,73,3,108,120,68
375,74,3,108,121,68
376,75,3,109,123,69
377,76,3,107,121,70
378,77,3,105,119,67
379,78,3,106,121,73
380,79,3,107,121,73
381,80,3,103,118,72
382,81,3,101,116,71
383,82,3,100,116,69
384,83,3,102,117,71
385,84,3,105,124,81
386,85,3,107,126,86
387,86,3,108,123,76
388,87,3,110,123,71
389,88,3,112,122,70
390,89,3,112,125,74
391,90,3,111,126,78
392,91,3,113,128,80
393,92,3,112,127,77
394,93,3,112,125,74
395,94,3,111,125,77
396,95,3,111,130,88
397,96,3,111,128,87
398,97,3,113,125,79
399,98,3,110,123,79
400,99,3,97,110,73
401,0,4,113,127,83
402,1,4,120,132,81
403,2,4,121,129,76
404,3,4,117,126,70
405,4,4,115,127,78
406,5,4,114,129,82
407,6,4,112,126,75
408,7,4,114,126,71
409,8,4,114,125,67
410,9,4,116,127,72
411,10,4,113,123,69
412,11,4,114,123,69
413,12,4,113,122,70
414,13,4,111,120,71
415,14,4,108,118,70
416,15,4,109,120,72
417,16,4,111,123,72
418,17,4,110,123,71
419,18,4,112,124,74
420,19,4,112,124,72
421,20,4,109,119,67
422,21,4,110,120,69
423,22,4,111,122,72
424,23,4,110,120,71
425,24,4,106,115,65
426,25,4,105,116,68
427,26,4,102,115,68
428,27,4,107,117,68
429,28,4,107,116,66
430,29,4,106,118,66
431,30,4,110,120,65
432,31,4,109,119,65
433,32,4,109,120,68
434,33,4,108,119,68
435,34,4,109,121,71
436,35,4,109,122,72
437,36,4,108,122,71
438,37,4,110,124,72
439,38,4,115,125,72
440,39,4,114,120,69
441,40,4,112,119,66
442,41,4,117,125,66
443,42,4,118,124,65
444,43,4,116,125,68
445,44,4,113,124,73
446,45,4,110,124,76
447,46,4,110,124,77
448,47,4,109,123,73
449,48,4,110,124,72
450,49,4,111,128,79
451,50,4,111,127,77
452,51,4,110,126,75
453,52,4,111,126,74
454,53,4,110,126,77
455,54,4,109,125,78
456,55,4,110,125,78
457,56,4,109,124,77
458,57,4,111,123,73
459,58,4,110,122,73
460,59,4,112,125,76
461,60,4,111,127,80
462,61,4,112,129,80
463,62,4,113,130,81
464,63,4,110,129,80
465,64,4,112,128,78
466,65,4,116,130,78
467,66,4,113,124,73
468,67,4,112,123,74
469,68,4,112,125,75
470,69,4,112,125,75
471,70,4,110,124,78
472,71,4,111,122,72
473,72,4,112,123,70
474,73,4,113,123,70
475,74,4,112,123,70
476,75,4,112,123,70
477,76,4,113,124,71
478,77,4,115,123,71
479,78,4,114,124,71
480,79,4,113,122,70
481,80,4,111,123,75
482,81,4,109,122,76
483,82,4,109,124,79
484,83,4,110,126,85
485,84,4,113,132,88
486,85,4,113,131,89
487,86,4,114,129,84
488,87,4,115,128,78
489,88,4,117,129,78
490,89,4,117,130,81
491,90,4,116,131,82
492,91,4,117,133,84
493,92,4,116,133,84
494,93,4,118,131,80
495,94,4,120,131,82
496,95,4,120,132,82
497,96,4,118,128,78
498,97,4,117,124,74
499,98,4,112,121,75
500,99,4,101,112,78
501,0,5,115,122,74
502,1,5,122,129,77
503,2,5,125,133,81
504,3,5,122,133,83
505,4,5,117,131,84
506,5,5,117,131,85
507,6,5,116,126,77
508,7,5,119,131,80
509,8,5,119,133,84
510,9,5,120,134,81
511,10,5,116,130,78
512,11,5,115,127,76
513,12,5,114,126,76
514,13,5,113,125,76
515,14,5,113,128,77
516,15,5,117,130,78
517,16,5,116,130,77
518,17,5,116,126,74
519,18,5,114,127,75
520,19,5,115,127,74
521,20,5,117,127,76
522,21,5,117,129,80
523,22,5,114,129,82
524,23,5,112,125,78
525,24,5,110,120,72
526,25,5,112,121,73
527,26,5,110,120,71
528,27,5,110,120,68
529,28,5,112,119,67
530,29,5,112,122,69
531,30,5,112,123,72
532,31,5,111,122,71
533,32,5,110,124,74
534,33,5,111,126,78
535,34,5,113,126,74
536,35,5,116,127,73
537,36,5,117,128,74
538,37,5,117,128,77
539,38,5,114,123,72
540,39,5,115,122,72
541,40,5,114,121,68
542,41,5,114,125,71
543,42,5,119,127,73
544,43,5,120,130,73
545,44,5,119,130,80
546,45,5,118,130,83
547,46,5,117,130,79
548,47,5,116,130,80
549,48,5,119,133,81
550,49,5,117,132,82
551,50,5,114,129,83
552,51,5,116,129,82
553,52,5,115,129,83
554,53,5,113,124,80
555,54,5,111,121,75
556,55,5,114,124,77
557,56,5,114,124,77
558,57,5,114,123,76
559,58,5,113,124,76
560,59,5,115,127,77
561,60,5,116,128,77
562,61,5,114,129,79
563,62,5,112,129,81
564,63,5,113,129,80
565,64,5,117,132,82
566,65,5,116,129,79
567,66,5,119,129,79
568,67,5,120,131,79
569,68,5,117,126,76
570,69,5,116,126,77
571,70,5,114,126,81
572,71,5,114,123,77
573,72,5,116,123,73
574,73,5,117,125,74
575,74,5,117,128,78
576,75,5,117,128,79
577,76,5,118,129,81
578,77,5,118,127,78
579,78,5,117,127,75
580,79,5,116,127,80
581,80,5,114,125,80
582,81,5,112,127,85
583,82,5,115,131,85
584,83,5,118,135,88
585,84,5,122,138,92
586,85,5,123,137,92
587,86,5,121,134,88
588,87,5,118,131,86
589,88,5,115,130,87
590,89,5,116,130,84
591,90,5,118,131,84
592,91,5,119,132,85
593,92,5,121,135,90
594,93,5,122,136,87
595,94,5,124,135,84
596,95,5,127,138,89
597,96,5,125,137,85
598,97,5,123,132,82
599,98,5,118,128,79
600,99,5,101,112,80
601,0,6,118,124,73
602,1,6,122,129,78
603,2,6,126,136,87
604,3,6,123,135,86
605,4,6,120,132,81
606,5,6,118,130,83
607,6,6,118,133,87
608,7,6,120,134,83
609,8,6,121,134,84
610,9,6,119,132,79
611,10,6,119,130,76
612,11,6,119,132,80
613,12,6,122,135,82
614,13,6,119,134,84
615,14,6,118,136,87
616,15,6,118,137,91
617,16,6,119,136,88
618,17,6,127,139,88
619,18,6,126,137,84
620,19,6,122,132,77
621,20,6,119,129,75
622,21,6,119,130,75
623,22,6,116,127,78
624,23,6,117,127,74
625,24,6,116,126,75
626,25,6,116,128,80
627,26,6,118,128,78
628,27,6,117,125,73
629,28,6,117,125,73
630,29,6,117,127,77
631,30,6,115,127,77
632,31,6,114,126,78
633,32,6,113,127,80
634,33,6,114,129,80
635,34,6,117,128,73
636,35,6,120,131,73
637,36,6,125,135,80
638,37,6,122,133,81
639,38,6,119,126,73
640,39,6,121,125,74
641,40,6,118,124,69
642,41,6,118,127,74
643,42,6,119,127,78
644,43,6,125,132,77
645,44,6,125,133,80
646,45,6,124,134,83
647,46,6,125,135,83
648,47,6,125,137,87
649,48,6,124,136,90
650,49,6,124,138,91
651,50,6,128,140,90
652,51,6,130,141,91
653,52,6,123,135,88
654,53,6,120,129,83
655,54,6,121,129,82
656,55,6,120,129,81
657,56,6,117,126,78
658,57,6,114,125,78
659,58,6,116,126,81
660,59,6,116,127,79
661,60,6,115,129,81
662,61,6,116,130,81
663,62,6,115,130,83
664,63,6,118,135,89
665,64,6,121,139,94
666,65,6,122,137,88
667,66,6,122,134,84
668,67,6,120,133,83
669,68,6,119,129,82
670,69,6,120,129,80
671,70,6,120,128,80
672,71,6,119,127,79
673,72,6,121,129,80
674,73,6,121,130,83
675,74,6,121,131,85
676,75,6,121,130,85
677,76,6,121,130,81
678,77,6,120,128,75
679,78,6,122,129,80
680,79,6,120,130,84
681,80,6,118,129,84
682,81,6,118,133,89
683,82,6,121,138,93
684,83,6,121,137,93
685,84,6,121,137,93
686,85,6,122,136,89
687,86,6,121,137,91
688,87,6,119,134,92
689,88,6,117,133,94
690,89,6,118,133,90
691,90,6,122,132,86
692,91,6,123,132,85
693,92,6,121,134,86
694,93,6,122,133,85
695,94,6,123,136,86
696,95,6,127,139,88
697,96,6,128,140,87
698,97,6,126,137,85
699,98,6,125,135,85
700,99,6,104,115,83
701,0,7,122,126,71
702,1,7,127,133,81
703,2,7,126,137,91
704,3,7,123,134,89
705,4,7,121,131,81
706,5,7,122,132,82
707,6,7,119,132,81
708,7,7,119,130,77
709,8,7,122,132,79
710,9,7,125,134,81
711,10,7,125,133,76
712,11,7,122,131,73
713,12,7,124,134,81
714,13,7,124,138,86
715,14,7,125,140,93
716,15,7,123,138,92
717,16,7,123,137,88
718,17,7,124,136,88
719,18,7,125,137,88
720,19,7,127,139,90
721,20,7,128,137,85
722,21,7,128,136,83
723,22,7,126,134,85
724,23,7,127,135,83
725,24,7,126,132,77
726,25,7,125,133,78
727,26,7,124,133,79
728,27,7,124,132,78
729,28,7,122,130,78
730,29,7,122,132,80
731,30,7,121,130,79
732,31,7,120,131,80
733,32,7,122,132,81
734,33,7,124,134,80
735,34,7,126,135,79
736,35,7,125,136,79
737,36,7,127,136,82
738,37,7,125,132,79
739,38,7,126,129,72
740,39,7,125,127,75
741,40,7,124,126,74
742,41,7,123,129,77
743,42,7,125,133,85
744,43,7,125,132,84
745,44,7,123,131,84
746,45,7,124,134,89
747,46,7,125,136,92
748,47,7,127,134,88
749,48,7,127,131,81
750,49,7,129,136,88
751,50,7,129,139,93
752,51,7,129,141,95
753,52,7,129,139,97
754,53,7,127,136,90
755,54,7,128,137,89
756,55,7,124,134,84
757,56,7,123,131,81
758,57,7,121,130,80
759,58,7,121,131,85
760,59,7,120,131,82
761,60,7,120,132,86
762,61,7,122,134,87
763,62,7,123,136,91
764,63,7,124,141,97
765,64,7,125,142,98
766,65,7,125,139,92
767,66,7,123,137,91
768,67,7,124,137,89
769,68,7,122,132,83
770,69,7,122,130,82
771,70,7,123,130,84
772,71,7,123,130,81
773,72,7,125,133,84
774,73,7,126,135,88
775,74,7,122,131,83
776,75,7,123,131,83
777,76,7,125,132,82
778,77,7,125,131,81
779,78,7,127,134,86
780,79,7,125,134,88
781,80,7,122,131,85
782,81,7,124,133,89
783,82,7,124,136,92
784,83,7,125,138,96
785,84,7,125,138,96
786,85,7,123,133,89
787,86,7,125,136,93
788,87,7,124,136,93
789,88,7,125,136,93
790,89,7,126,137,90
791,90,7,126,137,88
792,91,7,124,134,84
793,92,7,126,134,84
794,93,7,127,137,87
795,94,7,128,140,93
796,95,7,129,141,95
797,96,7,130,141,92
798,97,7,129,139,89
799,98,7,130,139,88
800,99,7,108,117,81
801,0,8,127,133,77
802,1,8,132,143,91
803,2,8,128,143,96
804,3,8,123,135,90
805,4,8,123,132,81
806,5,8,124,132,80
807,6,8,121,131,78
808,7,8,122,131,76
809,8,8,127,136,81
810,9,8,130,138,84
811,10,8,132,139,78
812,11,8,129,138,81
813,12,8,127,139,88
814,13,8,125,141,94
815,14,8,125,140,93
816,15,8,126,138,90
817,16,8,128,136,85
818,17,8,127,136,84
819,18,8,126,138,86
820,19,8,128,139,87
821,20,8,132,140,89
822,21,8,130,140,92
823,22,8,130,140,92
824,23,8,132,141,93
825,24,8,130,139,87
826,25,8,129,137,79
827,26,8,132,137,78
828,27,8,131,137,79
829,28,8,130,137,82
830,29,8,129,139,83
831,30,8,127,136,78
832,31,8,127,135,76
833,32,8,128,136,78
834,33,8,131,140,80
835,34,8,131,139,82
836,35,8,131,138,82
837,36,8,131,137,79
838,37,8,135,138,78
839,38,8,133,133,71
840,39,8,129,133,74
841,40,8,131,132,80
842,41,8,131,134,80
843,42,8,131,136,84
844,43,8,130,137,87
845,44,8,129,138,93
846,45,8,132,140,95
847,46,8,135,142,92
848,47,8,133,138,85
849,48,8,132,136,84
850,49,8,132,137,87
851,50,8,132,137,88
852,51,8,134,140,89
853,52,8,134,141,90
854,53,8,134,141,90
855,54,8,131,137,85
856,55,8,129,136,85
857,56,8,129,133,82
858,57,8,124,131,80
859,58,8,123,131,84
860,59,8,123,134,84
861,60,8,125,137,88
862,61,8,126,138,92
863,62,8,127,140,91
864,63,8,127,139,93
865,64,8,128,141,92
866,65,8,128,140,88
867,66,8,128,139,87
868,67,8,126,139,84
869,68,8,123,133,82
870,69,8,125,133,81
871,70,8,125,131,76
872,71,8,126,131,75
873,72,8,127,133,78
874,73,8,125,133,81
875,74,8,125,132,81
876,75,8,125,131,79
877,76,8,126,131,79
878,77,8,125,131,81
879,78,8,126,133,85
880,79,8,127,136,91
881,80,8,127,135,86
882,81,8,126,135,87
883,82,8,126,137,94
884,83,8,126,141,96
885,84,8,129,140,94
886,85,8,129,136,89
887,86,8,128,138,92
888,87,8,130,140,94
889,88,8,134,142,92
890,89,8,131,140,89
891,90,8,131,140,86
892,91,8,131,138,81
893,92,8,132,138,79
894,93,8,132,140,84
895,94,8,133,142,91
896,95,8,133,143,96
897,96,8,134,145,98
898,97,8,134,145,98
899,98,8,132,141,94
900,99,8,115,122,84
901,0,9,131,135,78
902,1,9,136,147,95
903,2,9,134,145,92
904,3,9,130,140,89
905,4,9,127,137,82
906,5,9,131,139,85
907,6,9,133,141,88
908,7,9,132,141,86
909,8,9,134,145,93
910,9,9,134,143,91
911,10,9,130,139,83
912,11,9,131,141,86
913,12,9,133,142,91
914,13,9,131,141,89
915,14,9,131,140,85
916,15,9,130,137,82
917,16,9,128,133,81
918,17,9,131,137,85
919,18,9,129,138,88
920,19,9,128,137,88
921,20,9,131,138,88
922,21,9,130,137,86
923,22,9,129,136,85
924,23,9,131,138,88
925,24,9,132,139,86
926,25,9,134,142,86
927,26,9,136,143,86
928,27,9,137,144,87
929,28,9,134,138,82
930,29,9,130,135,80
931,30,9,132,139,81
932,31,9,131,136,76
933,32,9,132,137,78
934,33,9,134,139,81
935,34,9,132,138,83
936,35,9,134,139,83
937,36,9,133,138,82
938,37,9,137,139,82
939,38,9,136,140,84
940,39,9,131,135,79
941,40,9,138,138,82
942,41,9,142,145,86
943,42,9,141,141,82
944,43,9,138,137,81
945,44,9,129,122,73
946,45,9,120,109,63
947,46,9,113,96,55
948,47,9,103,83,45
949,48,9,100,78,42
950,49,9,97,73,41
951,50,9,96,73,42
952,51,9,97,76,44
953,52,9,96,79,47
954,53,9,103,90,54
955,54,9,112,100,59
956,55,9,121,115,68
957,56,9,128,125,71
958,57,9,127,133,83
959,58,9,127,136,87
960,59,9,125,134,85
961,60,9,124,134,83
962,61,9,125,136,87
963,62,9,128,139,89
964,63,9,129,138,85
965,64,9,131,140,82
966,65,9,133,142,83
967,66,9,130,142,88
968,67,9,129,138,87
969,68,9,125,133,81
970,69,9,126,132,78
971,70,9,128,131,76
972,71,9,128,131,72
973,72,9,128,130,76
974,73,9,129,134,82
975,74,9,131,138,87
976,75,9,128,134,81
977,76,9,128,133,82
978,77,9,126,134,86
979,78,9,125,134,90
980,79,9,129,138,90
981,80,9,128,138,89
982,81,9,127,136,90
983,82,9,129,138,90
984,83,9,132,143,93
985,84,9,135,142,92
986,85,9,135,138,83
987,86,9,134,140,89
988,87,9,136,145,96
989,88,9,137,145,95
990,89,9,134,142,91
991,90,9,134,142,86
992,91,9,134,139,79
993,92,9,131,136,78
994,93,9,134,139,84
995,94,9,137,143,90
996,95,9,136,144,89
997,96,9,136,149,98
998,97,9,136,149,103
999,98,9,134,143,96
1000,99,9,115,119,81
1001,0,10,127,133,81
1002,1,10,134,146,100
1003,2,10,130,146,104
1004,3,10,125,138,92
1005,4,10,131,141,89
1006,5,10,134,144,92
1007,6,10,137,147,94
1008,7,10,138,149,98
1009,8,10,136,149,99
1010,9,10,133,143,92
1011,10,10,131,138,82
1012,11,10,133,138,80
1013,12,10,136,141,83
1014,13,10,136,141,82
1015,14,10,136,143,86
1016,15,10,133,140,86
1017,16,10,134,138,87
1018,17,10,135,139,88
1019,18,10,134,138,85
1020,19,10,134,138,81
1021,20,10,135,140,84
1022,21,10,134,140,88
1023,22,10,135,140,85
1024,23,10,139,145,92
1025,24,10,141,146,91
1026,25,10,140,148,95
1027,26,10,139,147,93
1028,27,10,139,147,95
1029,28,10,138,144,92
1030,29,10,136,140,84
1031,30,10,134,139,83
1032,31,10,136,140,82
1033,32,10,136,142,83
1034,33,10,136,142,83
1035,34,10,136,142,87
1036,35,10,137,144,88
1037,36,10,133,140,84
1038,37,10,137,142,89
1039,38,10,139,144,90
1040,39,10,140,141,87
1041,40,10,147,142,84
1042,41,10,137,127,69
1043,42,10,114,91,45
1044,43,10,98,65,26
1045,44,10,100,61,25
1046,45,10,100,59,22
1047,46,10,84,47,19
1048,47,10,78,43,22
1049,48,10,73,41,24
1050,49,10,69,39,25
1051,50,10,69,38,27
1052,51,10,67,37,24
1053,52,10,61,32,22
1054,53,10,60,33,24
1055,54,10,67,36,24
1056,55,10,71,40,24
1057,56,10,74,46,28
1058,57,10,86,67,42
1059,58,10,105,98,58
1060,59,10,127,126,72
1061,60,10,132,137,81
1062,61,10,130,139,86
1063,62,10,130,139,89
1064,63,10,130,140,88
1065,64,10,133,144,91
1066,65,10,135,143,90
1067,66,10,132,141,88
1068,67,10,130,138,89
1069,68,10,128,135,81
1070,69,10,127,133,79
1071,70,10,130,135,83
1072,71,10,129,134,81
1073,72,10,128,133,80
1074,73,10,130,135,83
1075,74,10,132,139,87
1076,75,10,129,137,85
1077,76,10,130,138,89
1078,77,10,128,138,93
1079,78,10,128,140,96
1080,79,10,132,142,91
1081,80,10,131,139,86
1082,81,10,132,139,88
1083,82,10,134,141,89
1084,83,10,137,145,92
1085,84,10,139,145,93
1086,85,10,139,141,89
1087,86,10,140,146,93
1088,87,10,143,151,98
1089,88,10,143,151,98
1090,89,10,139,145,93
1091,90,10,140,146,92
1092,91,10,136,143,85
1093,92,10,136,140,82
1094,93,10,135,139,84
1095,94,10,138,145,92
1096,95,10,139,148,92
1097,96,10,139,151,98
1098,97,10,138,151,100
1099,98,10,137,146,95
1100,99,10,121,125,80
1101,0,11,126,132,82
1102,1,11,133,147,102
1103,2,11,133,148,104
1104,3,11,133,145,97
1105,4,11,133,143,92
1106,5,11,132,142,90
1107,6,11,134,145,93
1108,7,11,134,146,97
1109,8,11,135,145,97
1110,9,11,131,139,86
1111,10,11,134,139,84
1112,11,11,135,140,83
1113,12,11,140,144,88
1114,13,11,142,147,87
1115,14,11,143,147,89
1116,15,11,138,143,87
1117,16,11,138,142,87
1118,17,11,139,143,92
1119,18,11,137,141,89
1120,19,11,140,142,90
1121,20,11,138,142,89
1122,21,11,139,143,90
1123,22,11,140,145,91
1124,23,11,145,150,96
1125,24,11,145,149,93
1126,25,11,145,151,94
1127,26,11,144,149,92
1128,27,11,143,148,90
1129,28,11,141,148,90
1130,29,11,142,150,94
1131,30,11,141,148,88
1132,31,11,147,152,90
1133,32,11,146,150,85
1134,33,11,145,148,83
1135,34,11,141,147,89
1136,35,11,143,150,95
1137,36,11,142,147,91
1138,37,11,143,147,88
1139,38,11,147,148,88
1140,39,11,140,130,71
1141,40,11,114,92,44
1142,41,11,95,61,22
1143,42,11,95,57,17
1144,43,11,103,62,20
1145,44,11,123,80,27
1146,45,11,117,76,28
1147,46,11,98,63,27
1148,47,11,93,58,26
1149,48,11,84,53,27
1150,49,11,79,50,28
1151,50,11,74,45,28
1152,51,11,65,38,27
